rowID,file,Study_Name,Site_Name,PH,PH_Collection_Method,PH_mean,Organic_Carbon__percent,OC_mean,C.N_ratio,CN_mean,Sand__percent,Silt__percent,Clay__percent,sand_silt_clay_mean,ph_new,PHIHOX,CLYPPT,SLTPPT,SNDPPT,CECSOL,ORCDRC,phFinal,ClayFinal,SandFinal,SiltFinal,OCFinal,ESA,bio10_1,bio10_4,bio10_7,bio10_12,bio10_15,elevation,SnowMonths,SnowMonths_cat,Aridity,PETyr,PET_SD,SpeciesRichness,SpeciesRichnessUnit,Site_WetBiomass,Site_WetBiomassUnits,Site_Biomassm2,logBiomass,Site_Abundance,Site_AbundanceUnits,Sites_Abundancem2,logAbundance
2344,000_DavalosUnpublished,davalosunpub,SSFenced424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2345,000_DavalosUnpublished,davalosunpub,SSFenced425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,2,Number of species,NA,NA,NA,NA,8,Number of individuals,32,3.496507561
2346,000_DavalosUnpublished,davalosunpub,SSFenced426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2347,000_DavalosUnpublished,davalosunpub,SSFenced427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,1,Number of species,NA,NA,NA,NA,12,Number of individuals,48,3.891820298
2348,000_DavalosUnpublished,davalosunpub,SSFenced428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2349,000_DavalosUnpublished,davalosunpub,SSFenced429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78372093,17.49501661,49.50166113,34,16.90365449,2.213289037,5.78372093,17.49501661,34,49.50166113,2.213289037,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,2,Number of individuals,8,2.197224577
2350,000_DavalosUnpublished,davalosunpub,SSFenced430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78372093,17.49501661,49.50166113,34,16.90365449,2.213289037,5.78372093,17.49501661,34,49.50166113,2.213289037,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2351,000_DavalosUnpublished,davalosunpub,SSFenced431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78372093,17.49501661,49.50166113,34,16.90365449,2.213289037,5.78372093,17.49501661,34,49.50166113,2.213289037,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,1,Number of species,NA,NA,NA,NA,8,Number of individuals,32,3.496507561
2352,000_DavalosUnpublished,davalosunpub,SSFenced432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2353,000_DavalosUnpublished,davalosunpub,SSFenced433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,1,Number of species,NA,NA,NA,NA,15,Number of individuals,60,4.110873864
2354,000_DavalosUnpublished,davalosunpub,SSFenced434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2355,000_DavalosUnpublished,davalosunpub,SSFenced435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,3,Number of species,NA,NA,NA,NA,7,Number of individuals,28,3.36729583
2356,000_DavalosUnpublished,davalosunpub,SSFenced436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2357,000_DavalosUnpublished,davalosunpub,SSFenced437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78372093,17.49501661,49.50166113,34,16.90365449,2.213289037,5.78372093,17.49501661,34,49.50166113,2.213289037,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,2,Number of species,NA,NA,NA,NA,4,Number of individuals,16,2.833213344
2358,000_DavalosUnpublished,davalosunpub,SSFenced438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2359,000_DavalosUnpublished,davalosunpub,SSFenced439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,2,Number of species,NA,NA,NA,NA,10,Number of individuals,40,3.713572067
2360,000_DavalosUnpublished,davalosunpub,SSFenced440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2361,000_DavalosUnpublished,davalosunpub,SSFenced441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9002,34.2,1026,18,331,3,3,9978,929,53.0777092,2,Number of species,NA,NA,NA,NA,16,Number of individuals,64,4.17438727
2362,000_DavalosUnpublished,davalosunpub,SSOpen442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,6,Number of individuals,24,3.218875825
2363,000_DavalosUnpublished,davalosunpub,SSOpen443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,17,Number of individuals,68,4.234106505
2364,000_DavalosUnpublished,davalosunpub,SSOpen444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,7,Number of individuals,28,3.36729583
2365,000_DavalosUnpublished,davalosunpub,SSOpen445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,34,Number of individuals,136,4.919980926
2366,000_DavalosUnpublished,davalosunpub,SSOpen446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,5,Number of species,NA,NA,NA,NA,47,Number of individuals,188,5.241747015
2367,000_DavalosUnpublished,davalosunpub,SSOpen447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,3,Number of species,NA,NA,NA,NA,44,Number of individuals,176,5.176149733
2368,000_DavalosUnpublished,davalosunpub,SSOpen448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,26,Number of individuals,104,4.65396035
2369,000_DavalosUnpublished,davalosunpub,SSOpen449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,5,Number of species,NA,NA,NA,NA,22,Number of individuals,88,4.48863637
2370,000_DavalosUnpublished,davalosunpub,SSOpen450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,8,Number of individuals,32,3.496507561
2371,000_DavalosUnpublished,davalosunpub,SSOpen451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,1,Number of individuals,4,1.609437912
2372,000_DavalosUnpublished,davalosunpub,SSOpen452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,7,Number of individuals,28,3.36729583
2373,000_DavalosUnpublished,davalosunpub,SSOpen453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,7,Number of individuals,28,3.36729583
2374,000_DavalosUnpublished,davalosunpub,SSOpen454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,3,Number of species,NA,NA,NA,NA,17,Number of individuals,68,4.234106505
2375,000_DavalosUnpublished,davalosunpub,SSOpen455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,11,Number of individuals,44,3.80666249
2376,000_DavalosUnpublished,davalosunpub,SSOpen456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,2,Number of species,NA,NA,NA,NA,78,Number of individuals,312,5.746203191
2377,000_DavalosUnpublished,davalosunpub,SSOpen457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,8,Number of individuals,32,3.496507561
2378,000_DavalosUnpublished,davalosunpub,SSOpen458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,2,Number of species,NA,NA,NA,NA,19,Number of individuals,76,4.343805422
2379,000_DavalosUnpublished,davalosunpub,SSOpen459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2380,000_DavalosUnpublished,davalosunpub,SSOpen460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2381,000_DavalosUnpublished,davalosunpub,SSOpen461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,4,Number of individuals,16,2.833213344
2382,000_DavalosUnpublished,davalosunpub,SSOpen462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2383,000_DavalosUnpublished,davalosunpub,SSOpen463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,2,Number of species,NA,NA,NA,NA,14,Number of individuals,56,4.043051268
2384,000_DavalosUnpublished,davalosunpub,SSOpen464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,3,Number of species,NA,NA,NA,NA,10,Number of individuals,40,3.713572067
2385,000_DavalosUnpublished,davalosunpub,SSOpen465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,5,Number of individuals,20,3.044522438
2386,000_DavalosUnpublished,davalosunpub,SSOpen466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2387,000_DavalosUnpublished,davalosunpub,SSOpen467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2388,000_DavalosUnpublished,davalosunpub,SSOpen468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,7,Number of individuals,28,3.36729583
2389,000_DavalosUnpublished,davalosunpub,SSOpen469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,20,Number of individuals,80,4.394449155
2390,000_DavalosUnpublished,davalosunpub,SSOpen470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2391,000_DavalosUnpublished,davalosunpub,SSOpen471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2392,000_DavalosUnpublished,davalosunpub,SSOpen472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,1,Number of individuals,4,1.609437912
2393,000_DavalosUnpublished,davalosunpub,SSOpen473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2394,000_DavalosUnpublished,davalosunpub,SSOpen474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,2,Number of species,NA,NA,NA,NA,7,Number of individuals,28,3.36729583
2395,000_DavalosUnpublished,davalosunpub,SSOpen475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,1,Number of species,NA,NA,NA,NA,1,Number of individuals,4,1.609437912
2396,000_DavalosUnpublished,davalosunpub,SSOpen476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2397,000_DavalosUnpublished,davalosunpub,SSOpen477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,7,Number of individuals,28,3.36729583
2398,000_DavalosUnpublished,davalosunpub,SSOpen478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2399,000_DavalosUnpublished,davalosunpub,SSOpen479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2400,000_DavalosUnpublished,davalosunpub,SSOpen480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2401,000_DavalosUnpublished,davalosunpub,SSOpen481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2402,000_DavalosUnpublished,davalosunpub,SSOpen482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2403,000_DavalosUnpublished,davalosunpub,SSOpen483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,2,Number of individuals,8,2.197224577
2404,000_DavalosUnpublished,davalosunpub,SSOpen484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2405,000_DavalosUnpublished,davalosunpub,SSOpen485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2406,000_DavalosUnpublished,davalosunpub,SSOpen486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2407,000_DavalosUnpublished,davalosunpub,SSOpen487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
2408,000_DavalosUnpublished,davalosunpub,SSOpen488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.650166113,16.99335548,47.50166113,36.50166113,16.91362126,2.785049834,5.650166113,16.99335548,36.50166113,47.50166113,2.785049834,Needleleaf evergreen forest,9,9001,34.2,1029,18,333,3,3,9989,928,53.04924393,0,Number of species,NA,NA,NA,NA,0,Number of individuals,0,0
